,year,GS_mean,moving_avg,team
270,1970,12.136363636363637,12.045454545454549,cin
271,1971,11.909090909090908,12.011363636363637,cin
272,1972,12.318181818181818,12.170454545454549,cin
273,1973,12.772727272727272,12.28409090909091,cin
274,1974,12.090909090909092,12.272727272727272,cin
275,1975,12.681818181818182,12.46590909090909,cin
276,1976,12.681818181818182,12.556818181818183,cin
277,1977,11.909090909090908,12.34090909090909,cin
278,1978,13.5,12.693181818181818,cin
279,1979,14.0,13.022727272727272,cin
280,1980,14.045454545454543,13.363636363636363,cin
281,1981,14.636363636363637,14.045454545454543,cin
282,1982,8.681818181818182,12.84090909090909,cin
283,1983,14.045454545454543,12.852272727272728,cin
284,1984,13.818181818181818,12.795454545454543,cin
285,1985,14.954545454545457,12.875,cin
286,1986,14.181818181818182,14.25,cin
287,1987,10.636363636363637,13.397727272727272,cin
288,1988,15.590909090909092,13.840909090909092,cin
289,1989,14.772727272727272,13.795454545454549,cin
290,1990,13.590909090909092,13.647727272727272,cin
291,1991,12.909090909090908,14.215909090909092,cin
292,1992,12.772727272727272,13.511363636363637,cin
293,1993,13.409090909090908,13.170454545454543,cin
294,1994,14.090909090909092,13.295454545454549,cin
295,1995,14.318181818181818,13.647727272727272,cin
296,1996,14.090909090909092,13.977272727272728,cin
297,1997,13.227272727272728,13.931818181818182,cin
298,1998,14.545454545454543,14.045454545454543,cin
299,1999,13.954545454545457,13.954545454545451,cin
300,2000,12.727272727272728,13.613636363636363,cin
301,2001,13.545454545454543,13.693181818181818,cin
302,2002,13.090909090909092,13.329545454545457,cin
303,2003,13.909090909090908,13.318181818181818,cin
304,2004,13.80952380952381,13.58874458874459,cin
305,2005,14.409090909090908,13.80465367965368,cin
306,2006,13.863636363636363,13.997835497835498,cin
307,2007,13.363636363636363,13.86147186147186,cin
308,2008,12.045454545454543,13.420454545454543,cin
309,2009,13.5,13.193181818181818,cin
310,2010,13.5,13.102272727272728,cin
311,2011,14.0,13.261363636363637,cin
312,2012,13.636363636363637,13.65909090909091,cin
313,2013,14.090909090909092,13.806818181818182,cin
314,2014,14.0,13.931818181818182,cin
315,2015,14.272727272727272,14.0,cin
316,2016,13.772727272727272,14.034090909090908,cin
317,2017,12.454545454545457,13.625,cin
318,2018,13.0,13.375,cin
319,2019,12.772727272727272,13.0,cin
320,2020,12.045454545454543,12.568181818181818,cin
321,2021,14.227272727272728,13.011363636363637,cin
322,2022,14.045454545454543,13.272727272727272,cin
323,2023,14.681818181818182,13.749999999999998,cin
324,2024,13.045454545454543,14.0,cin
325,1960,10.772727272727272,10.772727272727272,cle
326,1961,12.909090909090908,11.84090909090909,cle
327,1962,12.454545454545457,12.045454545454549,cle
328,1963,13.454545454545457,12.397727272727272,cle
329,1964,12.772727272727272,12.897727272727272,cle
330,1965,12.681818181818182,12.840909090909092,cle
331,1966,12.545454545454543,12.863636363636363,cle
332,1967,12.909090909090908,12.727272727272728,cle
333,1968,12.681818181818182,12.704545454545451,cle
334,1969,13.181818181818182,12.829545454545451,cle
335,1970,12.727272727272728,12.875,cle
336,1971,12.318181818181818,12.727272727272728,cle
337,1972,12.545454545454543,12.693181818181818,cle
338,1973,13.409090909090908,12.75,cle
339,1974,10.772727272727272,12.261363636363637,cle
340,1975,11.454545454545457,12.045454545454549,cle
341,1976,13.0,12.15909090909091,cle
342,1977,12.227272727272728,11.863636363636363,cle
343,1978,14.5,12.795454545454549,cle
344,1979,14.681818181818182,13.602272727272728,cle
345,1980,15.090909090909092,14.125,cle
346,1981,14.181818181818182,14.613636363636363,cle
347,1982,8.363636363636363,13.079545454545451,cle
348,1983,13.818181818181818,12.863636363636363,cle
349,1984,14.136363636363637,12.625,cle
350,1985,14.272727272727272,12.647727272727272,cle
351,1986,15.136363636363637,14.340909090909092,cle
352,1987,11.227272727272728,13.693181818181818,cle
353,1988,13.909090909090908,13.636363636363637,cle
354,1989,14.863636363636363,13.784090909090908,cle
355,1990,13.227272727272728,13.306818181818182,cle
356,1991,12.772727272727272,13.693181818181818,cle
